Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Strategic Blow,"With a tremendous strike, you confuse the enemy and create an opening for an ally to reposition themselves.",Attack,Daily,19,Golden Lion,"Martial, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Strength,AC,3dW + Strength modifier damage.,,Allies within 5 of the target can immediately shift 2 as a free action.,,,
Golden General's Stance," A beacon of victory upon the field of combat, you personify glory in combat and those in your presence may share in your prowess.",Utility,Daily,22,Golden Lion,"Martial, Stance",Swift,Self,,,,,,,,"Allies within 5 receive a +2 power bonus on attack rolls. If they score a critical hit, they add your Charisma modifier to the damage.",,,
Lord of the Pridelands,"Proving you are the undisputed master of war, you call for absolute and crushing victory through overwhelming force of numbers. ",Utility,Daily,22,Golden Lion,"Martial, Stance",Swift,Self,,,,,,,,Allies within 10 can use your Strength attack bonus instead of their own for any melee attacks that they make.,,,
War Lion's Charge,"With the ferocity of an angered lion, you race across the battlefield ignoring secondary targets to bear down on a single enemy and reduce them to dust.",Attack,Encounter,23,Golden Lion,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Strength,AC,3dW + Strength modifier damage and the target is stunned until the end of your next turn,,Half damage and the target is dazed until the end of your next turn.,,,
Lion Lord's Agony,"With a fury born of desperation and determination for victory, you pour your pain into your swings so that the enemy may drink deeply of it.",Attack,Encounter,27,Golden Lion,"Martial, Weapon",Standard,Near,"burst 1, all enemies",,,Strength,AC,3dW + Strength modifier damage and push the target 2.,,,,,
Triumphant Lion's Leadership,"The power and majesty of the lion lords of the wild lives within you, so much so that your victories are a victory for all of his allies.",Attack,Daily,29,Golden Lion,"Martial, Weapon, Healing",Immediate (Counter),Melee,"weapon, one target",,Your ally is the target of an attack,Strength,AC,"7dW + Strength modifier damage, and the attack that triggered this power misses.","Half damage. If the triggering attack hits, it does half damage.",The ally in question can spend a recovery to heal their recovery value.,"Before your attack, shift up to twice your speed.",,
,,,,,,,,,,,,,,,,,,,
Strong Bidding,,,,,,,,,,,,,,,,,,,
Companion Strike,,Attack,At-Will,1,Strong Bidding,"Spirit, Companion",Standard,Special,,,,,,Your companion makes a basic melee attack and adds your Charisma modifier to the damage.,,,,,
Side by Side,,Attack,Encounter,1,Strong Bidding,"Spirit, Companion",Standard,Melee,,,,Charisma,AC,1dW + Charisma modifier damage. ,,Your companion can also move its speed and make a basic melee attack against the same target.,,,
Share Senses,,Utility,Daily,2,Strong Bidding,"Spirit, Companion",Swift,,,,,,,,,"You can use any or all of your companion's senses as your own, gaining the benefits of any special senses that it has. During this time, you lose any of the senses that you take from your companion. For example, you could share your companion's sight, but keep your hearing.",,Swift,**Level 16 (encounter):** This becomes an encounter power.
Lifelink,,Utility,Daily,2,Strong Bidding,"Spirit, Companion",Immediate (Counter),,,,Your companion is hit by an attack.,,,,,"You experience all of the consequences of the attack hit, instead of your companion. If you are also a target of the attack, you experience the attack twice. ",,,
Leaping Intercept,,Utility,Daily,6,Strong Bidding,"Spirit, Companion",Immediate (Counter),,,,Your companion is adjacent to you and you are hit by an attack,,,,,You take half damage from the attack and your familiar takes half damage from the attack. ,,,
Familiar Guidance,,Utility,Daily,6,Strong Bidding,"Spirit, Companion",Immediate (Counter),,,,You miss on an at-will or encounter attack,,,,,Reroll the attack and take the second result. ,,,
Leap to Companion,,Utility,Encounter,6,Strong Bidding,"Spirit, Teleport, Companion",Move,Self,,,,,,,,"Teleport to the space occupied by your companion. If they are a familiar, they are hidden away. If they are a different type of companion, they shift 1 into an unoccupied space.",,,
Safeguard Companion,,Attack,Encounter,7,Strong Bidding,"Spirit, Focus, Companion",Immediate (Counter),,,,Your companion is the target of an attack from an enemy adjacent to it. ,Charisma,Will,1d8 + Charisma modifier + Intelligence modifier and push the target 2.,,,,,
Call Back Familiar,,Utility,Daily,10,Strong Bidding,"Spirit, Companion",Immediate (Counter),,,,Your familiar is hit by an attack.,,,,,Your familiar teleports to your space and is hidden away. ,,,
Interfering Companion,,Utility,Encounter,10,Strong Bidding,"Spirit, Companion",Swift,Self,,,,,,,,"Your companion can flank, if it couldn't already.",,,"*Level 10:* You get combat advantage against enemies adjacent to your companion.
*Level 20:* Enemies adjacent to your companion cannot shift. You get combat advantage against enemies adjacent to your companion."
Companion Form,,Utility,Daily,10,Strong Bidding,"Spirit, Transmutation, Companion",Swift,Self,,,,,,,,"You take the form of your companion, including size, source and type, senses and speed. As a swift action, you can resume your true form until you spend another swift action.",,Standard,
Master's Form,,Utility,Daily,10,Strong Bidding,"Spirit, Transmutation, Companion",Swift,Ranged,"10, one companion",,,,,,,"Your companion transforms into a humanoid of your race with the same age, gender, and build of its true form, though it always maintains a clearly unnatural remnant of its nature, such as a cat's eyes or a serpent's tongue. ",,Swift,
Companion Swarm,,Attack,Daily,19,Strong Bidding,"Spirit, Focus, Companion",Standard,Far,"burst 1, range 20 (must be your companion's space)",,,Charisma,Fortitude,4d8 + Charisma modifier damage,,Creates a zone. *Swarm Zone:* Enemies that enter the zone or begin their turn in it take 10 damage and are slowed until the start of their next turn. Spend a move action to move the zone up to 2. ,Your companion is removed from play while the zone remains in effect. ,Swift,
Enlarge Companion,,Utility,Daily,19,Strong Bidding,"Spirit, Transmutation, Companion",Swift,Ranged,"10, one companion",,,,,,,"If your companion is smaller than Medium size, it grows to Medium size. If your companion is Medium size or larger, it increases by one size category. Its maximum HP are set to your staggered value. The companion can flank. Once per round, the companion can knock an adjacent enemy prone or push it 1. ",,,
,,,,,,,,,,,,,,,,,,,
Manifests Mindblade,,,,,,,,,,,,,,,,,,,
Mindblade Conjuration,,Utility,Encounter,1,Manifests Mindblade,"Arcane, Conjuration",Swift,Self,,,,,,,,"You create a weapon of the type of your choice. The weapon is enchanted; at 1st-level it is a +1 magic weapon.
*Level 6:* +2 magic weapon.
*Level 11:* +3 magic weapon.
*Level 16:* +4 magic weapon.
*Level 21:* +5 magic weapon.
*Level 26:* +6 magic weapon.",,,
,,,,,,,,,,,,,,,,,,,
Blades in the Dark,,,,,,,,,,,,,,,,,,,
Evasive Strike,,Attack,At-Will,1,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier damage and you shift 1.
*Level 21:* 2dW + Dexterity modifier damage.",,,,,
Deadly Thrust,,Attack,At-Will,1,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier. If the target is staggered, also add your Strength modifier to the damage. 
*Level 21:* 2dW + Dexterity modifier damage.",,,,,
Flying Blade,,Attack,At-Will,1,Blades in the Dark,"Martial, Weapon",Standard,Ranged,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier and you gain momentum.
*Level 21:* 2dW + Dexterity modifier damage.",,,,,
Retort,,Attack,Daily,1,Blades in the Dark,"Martial, Weapon",Immediate (React),Melee,"weapon, one target",,You lose momentum,Dexterity,AC,1dW + Dexterity modifier.,,"Make a secondary attack against the same target. 
*Secondary Attack:* Dexterity vs AC; 1dW + Dexterity modifier damage *or* 2dW + Dexterity modifier damage if you gained momentum this turn. ",,,
Sure Cut,,Attack,Encounter,1,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,1dW + Dexterity modifier. ,"If you have momentum, you lose momentum but the target takes damage equal to your Triumphant Strike value.",,,,
Roll With It,,Utility,Daily,2,Blades in the Dark,Martial,Immediate (Counter),Self,,,You are hit by an attack while you have momentum.,,,,,You take half damage from the attack and do not lose momentum. ,,,
Pocket of Sand,,Utility,Encounter,2,Blades in the Dark,Martial,Standard,Melee,"touch, one target",,,Dexterity,Reflex,The target is blinded until the end of your next turn. ,,,"If you have momentum and an enemy targets you with an attack, you can lose momentum to use this as an immediate (react) action against that enemy. ",,
Tumbling Strike,,Attack,Encounter,3,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,2dW + Dexterity modifier damage.,,"Until the start of your next turn, if an attack misses you you can shift 1 as an immediate (react) action.",,,
Attack from the Blue,,Attack,Daily,5,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,2dW + Dexterity modifier damage.,,,"Move up to your speed before your attack. If you moved less than your speed before the attack, you can shift a number of squares up to the difference after your attack.",,
Double Down,,Utility,Encounter,6,Blades in the Dark,Martial,Immediate (Counter),,,,You make an attack roll or skill check.,,,,,"Reroll the attack roll or check. If the attack still misses or the check still fails, you are dazed until the end of your next turn. ",,,
Sloppy Strike,,Attack,Encounter,7,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier damage. The first time the target attacks you, you can make a secondary attack against them as an immediate (counter) action. If they do not attack you before the start of your next turn, the effect ends. 
*Secondary Attack:* Dexterity vs AC; 2dW + Dexterity modifier damage and the target is slowed. ",,,,,"*Level 17:* If your secondary attack hits, the triggering attack automatically misses. "
Bleeding Strike,,Attack,Daily,9,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,2dW + Dexterity modifier damage and the target takes persistent 5 damage and is slowed (both ongoing).,Half damage (no persistent damage).,,,,
Kip-Up,,Utility,At-Will,10,Blades in the Dark,Martial,Swift,Self,,,,,,,,You stand up from prone.,,,
Deflection,,Utility,Encounter,10,Blades in the Dark,"Martial, Weapon",Immediate (React),Self,,,You are missed by a Melee or Ranged attack while you have momentum. ,,,,,Choose an enemy in range of the missed attack. The attacker makes the attack that missed you against that target.,,,
Slick Feint,,Attack,Encounter,13,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,The target is dazed until the end of your next turn. ,,"Make a secondary attack against a different target.
*Secondary Attack:* Dexterity vs AC; 2dW + Dexterity modifier damage.",,,
Thief's Strike,,Utility,Encounter,16,Blades in the Dark,Martial,Immediate (React),Self,,,You hit a target within reach. ,,,,,"You can make a Sleight of Hand check against that enemy, for example to plant something on them or to pick their pocket. ",,,
Assassin's Gambit,,Attack,Encounter,17,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"3dW + Dexterity damage. If the target is reduced to 0 HP or below, you can shift 2 and make a secondary attack.
*Secondary Attack:* Dexterity vs AC; 3dW + Dexterity damage. ",,,,,
Spikey Bastard,,Attack,Daily,19,Blades in the Dark,"Martial, Weapon",Immediate (React),Melee,"weapon, one target",,An enemy misses you with an attack. ,Dexterity,AC,3dW + Dexterity damage.,,"While you maintain this power, each time an enemy misses you with an attack you can make a basic melee attack against them as an immediate (react) action. ",,Swift,
True Targeting,,Utility,Daily,22,Blades in the Dark,Martial,Swift,Self,,,,,,,,"Until the end of the encounter, you ignore all cover and concealment penalties, and can see invisible creatures and things. ",,,
I'll Take It,,Utility,Daily,22,Blades in the Dark,Martial,Immediate (Counter),Self,,,You roll a natural 19 on an attack.,,,,,The attack counts as a critical hit.,,,
Death's Twin,,Attack,Encounter,23,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"3dW + Dexterity modifier damage. If you miss, you may keep making the attack until you hit. ",,,,,
Twirling Towards Freedom,,Attack,Encounter,27,Blades in the Dark,"Martial, Weapon",Standard,Near,"burst 2, all enemies",,,Dexterity,AC,3dW + Dexterity modifier damage. ,,"Until the start of your next turn, you can take an immediate (counter) action to shift 2 at any point during the turn of each enemy you targeted. ",,,
End of the Beginning,,Attack,Daily,29,Blades in the Dark,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,7dW + Dexterity modifier damage.,Half damage.,"Until the end of the encounter, you can score a critical hit on a 19 as well as on a 20.",,,
,,,,,,,,,,,,,,,,,,,
Rapier's Point,,,,,,,,,,,,,,,,,,,
Gentlefolk's Challenge,,Attack,At-Will,1,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier damage.
*Level 21:* 2dW + Dexterity modifier damage.",,The target is marked.,,,
Dance of Blades,,Attack,At-Will,1,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"1dW + Dexterity modifier and you swap places with the target.
*Level 21:* 2dW + Dexterity modifier damage.",,,,,
Sure Thing,,Attack,Encounter,1,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity +2,Reflex,1dW + Dexterity modifier damage.,,,,,
Only Fooling,,Attack,Daily,1,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,"You are prone, immobile, restrained, grappled or slowed.",Dexterity,Reflex,2dW + Dexterity modifier damage. ,,,"You lose one condition that triggers this power, or you stand up from prone. Move up to your speed before making your attack.",,
Scornful Laugh,,Utility,Encounter,2,Rapier's Point,Martial,Immediate (React),Near,burst 10,,An enemy misses you with an attack.,,,,,The enemy takes a -4 penalty on attack rolls (save ends). ,,,
Lunging Draw,,Attack,Encounter,3,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon +1 reach, one target",,,Dexterity,Will,2dW + Dexterity modifier damage and pull 1.,,,,,
Calling Card,,Attack,Daily,5,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,2dW + Dexterity modifier damage.,,Your allies get a +2 bonus on attack rolls against the target while you maintain this effect. ,,Swift,
Throw Off,,Utility,Daily,6,Rapier's Point,Martial,Swift,Near,"burst 5, one enemy",,,,,,,The target grants combat advantage until the end of your next turn. ,,,
Through the Foot,,Attack,Encounter,7,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,1dW + Dexterity modifier damage and the target is immobile until the end of your next turn. ,,,,,
Certain Strike,,Attack,Daily,9,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,"2dW + Dexterity modifier damage. On this attack, you can score a critical hit on a 16-20. ",This power is not expended. ,,,,
Bravado,,Utility,Encounter,10,Rapier's Point,Martial,Immediate (Counter),Self,,,,,,,,"An attack against your Fortitude, Reflex or Will is instead made against your Armor Class. ",,,
Fend Off Horde,,Attack,Encounter,13,Rapier's Point,"Martial, Weapon",Standard,Near,"burst 1, all enemies",,,Dexterity,AC,2dW + Dexterity modifier damage and push a number of squares equal to your Charisma modifier. ,,,,,"*Level 23:* 3dW + Dexterity modifier damage, and they are also knocked prone. "
Blur of Cloaks,,Attack,Daily,15,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,3dW + Dexterity modifier damage.,,"Until the end of your next turn, the target cannot target you with attacks. Even its Near and Far attacks ignore you.",,,
Harmless Misdirection,,Utility,Encounter,16,Rapier's Point,Martial,Immediate (React),Self,,,You miss with a melee attack. ,,,,,"You turn invisible until the end of your turn. 
*Lose momentum:* Until the start of your next turn. ",,,
Press the Advantage,,Attack,Encounter,17,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,1dW + Dexterity modifier damage and push 1. You shift 1. ,,"Make a secondary attack against the same target. 
*Secondary Attack:* Dexterity vs. AC; 1dW + Dexterity modifier damage and push 1. You shift 1.",,,"*Level 27:* Do 2dW + Dexterity modifier damage with each attack, and you push and shift equal to your Charisma modifier. "
Call Bid,,Attack,Daily,19,Rapier's Point,"Martial, Weapon",Standard,Melee,"weapon, one target",,,Dexterity,AC,2dW + Dexterity modifier damage.,,"Make a number of secondary attacks against the target equal to the number of times you declared that you would hit the target.
*Secondary Attack:* Dexterity vs. AC. 2dW + Dexterity modifier damage.","Before you use this power, announce how many times you will hit the target, between one and five. You can make this many secondary attacks. Count up all hits (including from your primary attack). For each attack you are short your bid, your enemy can make that many basic attacks against you. ",,
Rescuing Intercept,,Attack,Daily,19,Rapier's Point,Martial,Standard,Melee,"weapon, one target",,,Dexterity,AC,,,,"Before your attack, an ally within Near range 10 shifts squares equal to your Charisma modifier. Then you teleport into their original space. ",,
Swift Riposte,,Utility,Daily,22,Rapier's Point,Martial,Swift,Self,,,,,,,,"Each time you are the target of an attack, you can make a basic melee or ranged attack against the attacker as an immediate (counter) action.",,Swift,
Dodge with Panache,,Utility,Encounter,22,Rapier's Point,Martial,Immediate (Counter),Self and allies,,,You are the target of an attack,,,,,"The attacker must roll twice against you and every ally who is a target of the attack, taking the lower result each time. ",,,
Lethal Misdirection,,Attack,Daily,25,Rapier's Point,"Martial, Weapon",Immediate (Counter),Melee,"weapon, one target",,"An enemy targets you with an attack, and a different enemy is adjacent to you.",Dexterity,"AC, against the enemy adjacent to you",3dW + Dexterity modifier damage.,,The attack targets the enemy adjacent to you instead of you.,,,
Deflect Attack,,Attack,Daily,29,Rapier's Point,"Martial, Weapon",Immediate (Counter),Melee,"weapon, one target",,An enemy in reach targets you with an attack.,Dexterity,AC,3dW + Dexterity modifier damage and the attack misses.,Your attack does half damage.,,,,
,,,,,,,,,,,,,,,,,,,
Cup of Brimstone,,,,,,,,,,,,,,,,,,,
Contagion,,Attack,At-Will,1,Cup of Brimstone,"Focus, Arcane, Poison",Immediate (React),Ranged,"10, the closest enemy to the triggering creature within range",,A creature you have Claimed is reduced to 0 HP or below.,Charisma,Fortitude,1d6 + Charisma modifier poison damage and you have a Dark Claim on the target.,,,,,
Stab in the Soul,,Attack,At-Will,1,Cup of Brimstone,"Focus, Arcane, Necrotic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,1d12 + Charisma modifier necrotic damage.,You take 1d6 damage.,,You can use this power as a basic ranged attack. ,,
Burn It Off,,Attack,At-Will,1,Cup of Brimstone,"Focus, Arcane, Fire",Standard,Ranged,"10, one enemy",,,Charisma +2,Fortitude,1d8 + Charisma modifier fire damage. ,,You suffer a cumulative -1 penalty on attack rolls using this power for every time you have used it this encounter. ,You can use this power as a basic ranged attack. ,,
Redoubled Misery,,Attack,Encounter,1,Cup of Brimstone,"Focus, Arcane",Immediate (React),Ranged,"10, one enemy",,The target fails a saving throw,Charisma,Fortitude,2d6 + Charisma modifier damage and they suffer a -2 penalty on saving throws until the end of your next turn. ,,,,,
Death Mark,,Attack,Encounter,1,Cup of Brimstone,"Focus, Arcane",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,1d8 + Charisma modifier necrotic damage and the target gains vulnerability to all 5 until the end of your next turn.,,,,,
Least Binding,,Attack,Daily,1,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Small demon toad or Small hopping imp until the end of the encounter.,,,
Perverse Blessing,,Utility,Daily,2,Cup of Brimstone,"Arcane, Stance",Swift,Self,,,,,,,,"You gain a +2 power bonus to defenses. If you are hit by an attack, you lose this bonus and instead get a -1 penalty to defenses. Until this power ends, you keep switching between bonus and penalty each time you are hit. ",,,
Curse of the Odd,,Attack,Encounter,3,Cup of Brimstone,"Focus, Arcane",Standard,Ranged,"10, one enemy",,,Charisma ,Fortitude,"Until the end of your next turn, each time any creature rolls an odd number on an attack roll or saving throw, the target takes damage equal to your Charisma modifier.",,,,,
Everburn,,Attack,Encounter,3,Cup of Brimstone,"Focus, Arcane, Fire",Standard,Ranged,"10, one enemy",,,Charisma ,Fortitude,Persistent 5 fire damage (save ends) and vulnerability to fire (save ends). ,,,,,
Minor Binding,,Attack,Daily,5,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Medium burner demon or Medium hellhound until the end of the encounter. If you summon the hellhound, choose one enemy within 10 squares to become the hellhound's quarry.",,,
Dance in Fire,,Utility,Daily,6,Cup of Brimstone,"Arcane, Fire, Stance",Swift,Self,,,,,,,,"When an enemy enters a square adjacent to you, it takes damage equal to your Intelligence modifier. ",,,
Diseased Blood,,Attack,Encounter,7,Cup of Brimstone,"Focus, Arcane, Acid",Standard,Far,"blast 2, all enemies",,,Charisma,Fortitude,1d8 + Charisma modifier acid damage and you have a Dark Claim on the target. ,,,,,
Mocking Curse,,Attack,Encounter,7,Cup of Brimstone,"Focus, Arcane, Psychic",Immediate (React),Ranged,"10, one enemy",,The target fails an attack roll against you,Charisma,Fortitude,1d10 + Charisma modifier psychic damage and the target is dazed (save ends). ,,,,,
Lesser Binding,,Attack,Daily,9,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Large vulture demon, Medium hungry maw or Large hezrou until the end of the encounter. ",,,
Flaming Teleport,,Utility,Encounter,10,Cup of Brimstone,"Arcane, Teleportation",Swift,Self,,,,,,,,Teleport to an unoccupied space adjacent to a creature that is taking persistent fire damage. ,,,
Demonic Explosion,,Attack,Encounter,13,Cup of Brimstone,"Focus, Arcane, Fire",Immediate (React),Far,"burst 1 (range special), all creatures",,One of your summoned monsters is reduced to 0 HP or below.,Charisma,Fortitude,1d10 + Charisma modifier fire damage. ,,,The burst is centred on the triggering monster. ,,
Sadistic Shot,,Attack,Encounter,13,Cup of Brimstone,"Focus, Arcane, Fire",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,"2d8 + Charisma modifier damage, and you may spend a recovery to heal your recovery value in HP. ",,,,,
Prestige Binding,,Attack,Daily,15,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large big burner until the end of the encounter. ,,,
Abyssal Bargain,,Utility,Daily,16,Cup of Brimstone,"Arcane, Healing",Standard,Melee,"touch, one ally on 0 HP or below",,,,,,,The ally heals to maximum HP. You and the ally both have zero recoveries until the next long rest.,,,
Follow the Blood,,Utility,Encounter,16,Cup of Brimstone,"Arcane, Teleportation",Swift,Ranged,"10, one staggered creature",,,,,,,Teleport to an unoccupied space adjacent to the target.,,,
Keep Burning Please,,Attack,Encounter,17,Cup of Brimstone,"Arcane, Fire",Immediate (React),Ranged,"10, one enemy",,The target makes a successful saving throw against persistent fire damage. ,Charisma,Fortitude,2d8 + Charisma modifier fire damage and persistent fire damage 10 (save ends). ,,,,,
Rabble Babble,,Attack,Encounter,17,Cup of Brimstone,"Focus, Arcane, Psychic",Standard,Far,"burst 1, all enemies",,,Charisma,Fortitude,The target is dazed (save ends). *Aftereffect:* The target takes damage equal to your Charisma modifier. ,,,,,
Advanced Binding,,Attack,Daily,19,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,"You summon a Medium frenzy demon, Large boar demon or Huge pincer demon until the end of the encounter. ",,,
Golden Claw,,Utility,Daily,22,Cup of Brimstone,"Arcane, Conjuration, Fire",Swift,Self,,,,,,,,"You conjure a Medium golden claw in your space. The claw carries you, giving you a fly speed of 12 (hover, maximum altitude 2). If you are subject to an opportunity attack, make the following secondary attack against the attacker.
*Secondary Attack:* Charisma vs Fortitude; 3d6 + Charisma modifier fire damage. Then this power ends. ",,,
Spreading the Rot,,Attack,Encounter,23,Cup of Brimstone,"Focus, Arcane, Necrotic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,4d8 + Charisma modifier necrotic damage and the target takes 10 ongoing necrotic damage (save ends). *Aftereffect:* The Claimed enemy of yours nearest the target takes 10 ongoing necrotic damage (save ends). ,,,,,
Carrion Screech,,Attack,Encounter,23,Cup of Brimstone,"Focus, Arcane, Psychic",Standard,Close,"blast 3, all enemies",,,Charisma,Fortitude,4d8 + Charisma modifier necrotic damage and the target gains vulnerability to all damage 10 (ongoing). ,,,,,
Greater Binding,,Attack,Daily,25,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large laughing demon until the end of the encounter. ,,,
Killing Doubt,,Attack,Encounter,27,Cup of Brimstone,"Focus, Arcane, Psychic",Standard,Ranged,"10, one enemy",,,Charisma,Fortitude,4d10 + Intelligence modifier psychic damage. The target's next standard action must be a basic attack. ,,,,,
Ultimate Binding,,Attack,Daily,29,Cup of Brimstone,"Focus, Arcane, Summons",Standard,Ranged,"1, unoccupied square",,,,,,,You summon a Large balor or Large marilith until the end of the encounter. ,,,
,,,,,,,,,,,,,,,,,,,
Commander,,,,,,,,,,,,,,,,,,,
Lift Spirits,,Utility,Encounter,1,Commander,"Martial, Healing",Swift,Near,"burst 5 (10 at level 11, 15 at level 21), one ally or yourself",,,,,,,The target spends a recovery and heals their recovery value plus your Charisma modifier. ,,,
,,,,,,,,,,,,,,,,,,,
Jester,,,,,,,,,,,,,,,,,,,
Wrong Place-Wrong Time,,Utility,Encounter,Feature,Jester,Martial,Move,Self,,,,,,,,Shift your speed and gain a +5 power bonus to AC and Reflex defense until the start of your next turn.,,,
,,,,,,,,,,,,,,,,,,,
Last Laugh,,,,,,,,,,,,,,,,,,,
Biting Taunt,,Attack,At-Will,1,Last Laugh,"Martial, Psyche",Move,Ranged,"10, one creature",,,Charisma +2,Will,"You mark the target until the start of your next turn. While the target is marked, you gain a +2 power bonus to all defenses against its attacks, it is weakened for all attacks that do not include you, and if you score a critical hit against it, it is dazed until the start of your next turn.",,,You can use this power as a basic attack.,Swift: The target remains marked until the start of your next turn. You cannot sustain if you or the target ends its turn out of range.,
Failure to Communicate ,Events are not moving in your favor. You act in the best interest of the situation.,Attack,At-Will,1,Last Laugh,"Martial, Weapon",Standard,Self,,,,,,,,"Make a basic attack.  After the attack, you can shift a square.","If your target misses you with an attack before the start of your next turn, you can make a basic attack against it as an immediate (react) action.",,
"Who, Me?","You claim ignorance in the situation, acting as the innocent or an ally of the opposite side. You seem trustworthy enough. ",Attack,At-Will,1,Last Laugh,"Martial, Psyche",Move,Near,"burst 10, three creatures not within 3 of you",,,Charisma +2,Will,"The target cannot make melee or ranged attacks against you until the start of your next turn. If you mark or inflict damage on the target, the effect ends and the target is immune to this power until thread of the encounter.",,,,,
Exploit Weakness,Your enemy is not angry as much as confused by what you just said.,Attack,Encounter,1,Last Laugh,"Martial, Psyche, Consistent",Standard,Near,"burst 10, one creature you can see",,,Charisma +2,Will,"The target is immobile until the end of your next turn. If the target takes any damage from you or your allies, it immediately recovers from this effect.",,You can use this power again with an action point (replacing the action). You cannot target the same creature.,,,
Personal Betrayal,"The enemy wasn't expecting your attack.  It wasn't even sure you were an enemy.  Well, now it does.",Attack,Encounter,1,Last Laugh,Martial,Swift,Near,"burst 10, one creature you can see that you have not damaged this encounter",,,,,,,"Until the start of your next turn, whenever you make a damage roll against the target, you gain a power bonus to the roll equal to your Charisma modifier.",,Swift: The effect persists.,
Parley,"You convince your enemy to settle down and pause, at least for a moment. It may not last, especially if an ally is aggressive.",Attack,Daily,1,Last Laugh,"Martial, Psyche, Consistent",Standard,Near,"burst 10, one creature you can see",,,Charisma +2,Will,"The target is stunned (save ends). If the target takes any damage or is moved, the effect immediately ends and the target gains a +2 bonus to all defenses until the start of its next turn.",,,,,
Forked Tongue,"The target is swayed by your magnetic charisma, the tone of your voice, and your general attitude.",Attack,Daily,1,Last Laugh,"Martial, Psyche, Consistent",Standard,Near,"burst 5, one creature you can see"," You, the target, and the target’s allies have not been damaged this encounter.",,Charisma +2,Will,"Until the end of your next turn, your allies have concealment against the target and you gain a +3 power bonus to all Diplomacy and Bluff checks against it. If the target takes any damage while this power is in effect, it is stunned until the end of your next turn. ",,,,"Standard: The effect persists until the end of your next turn, until the target takes damage or until you take damage, whichever comes first.",
Grace Under Pressure,"You are suave and as cool as ice.  Even when the arrows fly, you act calmly.",Utility,Encounter,2,Last Laugh,Martial,Swift,Near,"burst 5, each creature you can see",,,,,,,"Until the start of your next turn, you gain a +2 power bonus to AC, Reflex defense and Will defense against the target.","If you are hit by an attack before the start of your next turn, this power is not expended.",,
Winning Smile,,Utility,Daily,2,Last Laugh,Martial,No,Self,,,,,,,,Double your Charisma modifier to Bluff or Diplomacy checks until the end of the encounter (or five minutes).,,,
